"";"tailnum";"year";"type";"manufacturer";"model";"engines";"seats";"speed";"engine"
"53";"N110HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"54";"N110SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"55";"N110UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"56";"N111DC";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"57";"N111HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"58";"N111NG";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"59";"N111US";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"60";"N111ZM";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"61";"N11206";2000;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"62";"N112AN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"63";"N112DN";2021;"Fixed wing multi engine";"AIRBUS SAS";"A321-211";2;222;0;"Turbo-fan"
"64";"N112DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"65";"N112HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"66";"N112US";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"67";"N113AN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"68";"N113DQ";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"69";"N113DX";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"70";"N113HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"71";"N113SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"72";"N114DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"73";"N114DU";2019;"Fixed wing multi engine";"C SERIES AIRCRAFT LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"74";"N114HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"75";"N114SY";2014;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"76";"N114UW";1999;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"77";"N115DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"78";"N115DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"79";"N115HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"80";"N115NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"81";"N116AN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"82";"N116DN";2021;"Fixed wing multi engine";"AIRBUS SAS";"A321-211";2;222;0;"Turbo-fan"
"83";"N116DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"84";"N116HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"85";"N116SY";2014;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"86";"N117AN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"87";"N117DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"88";"N117DX";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"89";"N117HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"90";"N117SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"91";"N117UW";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"92";"N118DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"93";"N118DY";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"94";"N118HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"95";"N118NN";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"96";"N118SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"97";"N118US";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"98";"N119DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"99";"N119DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"100";"N119HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"101";"N119NN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"102";"N119SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"103";"N119US";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"104";"N12003";NA;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"105";"N12004";2019;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"106";"N12005";2019;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"107";"N12006";2019;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"108";"N1200K";1998;"Fixed wing multi engine";"BOEING";"767-332";2;330;0;"Turbo-fan"
"109";"N12010";2019;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"110";"N12012";2020;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"111";"N1201P";1998;"Fixed wing multi engine";"BOEING";"767-332";2;330;0;"Turbo-fan"
"112";"N12020";2022;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"113";"N12021";2022;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"114";"N12028";2015;"Fixed wing multi engine";"AIRBUS";"A319-115";2;147;0;"Turbo-fan"
"115";"N120DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"116";"N120DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"117";"N120EE";2014;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A321-231";2;379;0;"Turbo-fan"
"118";"N120SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"119";"N12109";1994;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"120";"N12114";1995;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"121";"N12116";1996;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"122";"N12125";1998;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"123";"N121AN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"124";"N121DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"125";"N121DZ";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"126";"N121HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"127";"N121SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"128";"N121UW";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"129";"N12216";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"130";"N12218";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"131";"N12221";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"132";"N12225";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"133";"N12238";1999;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"134";"N122DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"135";"N122DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"136";"N122HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"137";"N122NN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"138";"N122SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"139";"N122US";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"140";"N123DQ";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"141";"N123DW";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"142";"N123HQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"143";"N123NN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"144";"N123UW";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"145";"N124AA";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"146";"N124DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"147";"N124DX";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"148";"N124HQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"149";"N124SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"150";"N124US";2000;"Fixed wing multi engine";"AIRBUS INDUSTRIE";"A320-214";2;182;0;"Turbo-fan"
"151";"N125AA";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"152";"N125DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"153";"N125DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"154";"N125SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"155";"N125UW";2009;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"156";"N126AN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"157";"N126DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"158";"N126DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"159";"N126HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"160";"N126UW";2009;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"161";"N12754";2002;"Fixed wing multi engine";"BOEING";"737-700";2;149;0;"Turbo-fan"
"162";"N127AA";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"163";"N127DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"164";"N127DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"165";"N127HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"166";"N127SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"167";"N127UW";2010;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"168";"N128AN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"169";"N128DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"170";"N128DU";2019;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"171";"N128HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"172";"N128SY";2014;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"173";"N128UW";2010;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"174";"N129AA";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"175";"N129DN";2021;"Fixed wing multi engine";"AIRBUS";"A321-211";2;199;0;"Turbo-fan"
"176";"N129DU";NA;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"177";"N129HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"178";"N13013";2020;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"179";"N13014";2023;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"180";"N13018";2022;"Fixed wing multi engine";"BOEING";"787-10";2;120;0;"Turbo-fan"
"181";"N130AN";2014;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"182";"N130DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"183";"N130SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"184";"N13110";1994;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"185";"N13113";1995;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"186";"N13138";1999;"Fixed wing multi engine";"BOEING";"757-224";2;178;0;"Turbo-fan"
"187";"N131DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"188";"N131EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"189";"N131HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"190";"N131SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"191";"N13227";1999;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"192";"N13248";1999;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"193";"N132AN";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"194";"N132DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"195";"N132EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"196";"N132HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"197";"N132SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"198";"N133AN";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"199";"N133DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"200";"N133EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"201";"N133HQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"202";"N133SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"203";"N134AN";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"204";"N134DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"205";"N134EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"206";"N134HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"207";"N134SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"208";"N135DQ";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"209";"N135EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"210";"N135HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"211";"N135NK";2006;"Rotorcraft";"EUROCOPTER DEUTSCHLAND GMBH";"EC 135 P2+";2;7;0;"Turbo-shaft"
"212";"N135NN";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"213";"N135SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"214";"N136AN";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"215";"N136DQ";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
"216";"N136EV";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"217";"N136HQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"218";"N136SY";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"219";"N13716";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"220";"N13718";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"221";"N13720";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"222";"N13750";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"223";"N137AA";2015;"Fixed wing multi engine";"AIRBUS";"A321-231";2;379;0;"Turbo-fan"
"224";"N137DU";2020;"Fixed wing multi engine";"AIRBUS CANADA LTD PTNRSP";"BD-500-1A10";2;133;0;"Turbo-fan"
