"";"origin";"year";"month";"day";"hour";"temp";"dewp";"humid";"wind_dir";"wind_speed";"wind_gust";"precip";"pressure";"visib";"time_hour"
"41";"JFK";2023;1;2;16;NA;NA;NA;260;5,7539;6,621473042;NA;NA;10;2023-01-03 01:00:00
"42";"JFK";2023;1;2;17;NA;NA;NA;240;4,60312;5,2971784336;NA;NA;10;2023-01-03 02:00:00
"43";"JFK";2023;1;2;18;NA;NA;NA;190;4,60312;5,2971784336;NA;NA;10;2023-01-03 03:00:00
"44";"JFK";2023;1;2;19;NA;NA;NA;180;9,20624;10,5943568672;NA;NA;10;2023-01-03 04:00:00
"45";"JFK";2023;1;2;20;NA;NA;NA;190;5,7539;6,621473042;NA;NA;10;2023-01-03 05:00:00
"46";"JFK";2023;1;2;21;NA;NA;NA;190;11,5078;13,242946084;NA;NA;10;2023-01-03 06:00:00
"47";"JFK";2023;1;2;22;NA;NA;NA;180;5,7539;6,621473042;NA;NA;10;2023-01-03 07:00:00
"48";"JFK";2023;1;2;23;NA;NA;NA;170;4,60312;5,2971784336;NA;NA;10;2023-01-03 08:00:00
"49";"JFK";2023;1;3;0;NA;NA;NA;200;5,7539;6,621473042;NA;NA;10;2023-01-03 09:00:00
"50";"JFK";2023;1;3;1;NA;NA;NA;220;5,7539;6,621473042;NA;NA;10;2023-01-03 10:00:00
"51";"JFK";2023;1;3;2;NA;NA;NA;200;5,7539;6,621473042;NA;NA;10;2023-01-03 11:00:00
"52";"JFK";2023;1;3;3;NA;NA;NA;170;4,60312;5,2971784336;NA;NA;9;2023-01-03 12:00:00
"53";"JFK";2023;1;3;4;NA;NA;NA;0;0;0;NA;NA;10;2023-01-03 13:00:00
"54";"JFK";2023;1;3;5;NA;NA;NA;130;2,30156;2,6485892168;NA;NA;10;2023-01-03 14:00:00
"55";"JFK";2023;1;3;6;NA;NA;NA;0;0;0;NA;NA;10;2023-01-03 15:00:00
"56";"JFK";2023;1;3;7;NA;NA;NA;140;4,60312;5,2971784336;NA;NA;6;2023-01-03 16:00:00
"57";"JFK";2023;1;3;8;NA;NA;NA;110;2,30156;2,6485892168;NA;NA;6;2023-01-03 17:00:00
"58";"JFK";2023;1;3;9;NA;NA;NA;0;0;0;NA;NA;5;2023-01-03 18:00:00
"59";"JFK";2023;1;3;10;NA;NA;NA;120;2,30156;2,6485892168;NA;NA;6;2023-01-03 19:00:00
"60";"JFK";2023;1;3;11;NA;NA;NA;120;5,7539;6,621473042;NA;NA;6;2023-01-03 20:00:00
"61";"JFK";2023;1;3;12;NA;NA;NA;140;2,30156;2,6485892168;NA;NA;6;2023-01-03 21:00:00
"62";"JFK";2023;1;3;13;NA;NA;NA;130;4,60312;5,2971784336;NA;NA;5;2023-01-03 22:00:00
"63";"JFK";2023;1;3;14;NA;NA;NA;160;10,35702;11,9186514756;NA;NA;7;2023-01-03 23:00:00
"64";"JFK";2023;1;3;15;NA;NA;NA;190;5,7539;6,621473042;NA;NA;10;2023-01-04
"65";"JFK";2023;1;3;16;NA;NA;NA;240;5,7539;6,621473042;0,02;NA;2;2023-01-04 01:00:00
"66";"JFK";2023;1;3;17;NA;NA;NA;150;2,30156;2,6485892168;0,02;NA;2;2023-01-04 02:00:00
"67";"JFK";2023;1;3;18;NA;NA;NA;200;9,20624;10,5943568672;NA;NA;1,5;2023-01-04 03:00:00
"68";"JFK";2023;1;3;19;NA;NA;NA;190;9,20624;10,5943568672;NA;NA;2;2023-01-04 04:00:00
"69";"JFK";2023;1;3;20;NA;NA;NA;180;8,05546;9,2700622588;NA;NA;4;2023-01-04 05:00:00
"70";"JFK";2023;1;3;21;NA;NA;NA;180;8,05546;9,2700622588;NA;NA;4;2023-01-04 06:00:00
"71";"JFK";2023;1;3;22;NA;NA;NA;180;8,05546;9,2700622588;NA;NA;5;2023-01-04 07:00:00
"72";"JFK";2023;1;3;23;NA;NA;NA;200;4,60312;5,2971784336;NA;NA;5;2023-01-04 08:00:00
"73";"JFK";2023;1;4;0;NA;NA;NA;200;4,60312;5,2971784336;NA;NA;5;2023-01-04 09:00:00
"74";"JFK";2023;1;4;1;NA;NA;NA;100;2,30156;2,6485892168;NA;NA;5;2023-01-04 10:00:00
"75";"JFK";2023;1;4;2;NA;NA;NA;170;8,05546;9,2700622588;NA;NA;5;2023-01-04 11:00:00
"76";"JFK";2023;1;4;3;NA;NA;NA;190;5,7539;6,621473042;NA;NA;1,5;2023-01-04 12:00:00
"77";"JFK";2023;1;4;4;NA;NA;NA;190;5,7539;6,621473042;NA;NA;6;2023-01-04 13:00:00
"78";"JFK";2023;1;4;5;NA;NA;NA;190;5,7539;6,621473042;NA;NA;7;2023-01-04 14:00:00
"79";"JFK";2023;1;4;6;NA;NA;NA;220;5,7539;6,621473042;NA;NA;7;2023-01-04 15:00:00
"80";"JFK";2023;1;4;7;NA;NA;NA;190;8,05546;9,2700622588;NA;NA;6;2023-01-04 16:00:00
"81";"JFK";2023;1;4;8;NA;NA;NA;0;0;0;NA;NA;6;2023-01-04 17:00:00
"82";"JFK";2023;1;4;9;NA;NA;NA;200;4,60312;5,2971784336;NA;NA;6;2023-01-04 18:00:00
"83";"JFK";2023;1;4;10;NA;NA;NA;230;5,7539;6,621473042;NA;NA;6;2023-01-04 19:00:00
"84";"JFK";2023;1;4;11;NA;NA;NA;240;8,05546;9,2700622588;NA;NA;9;2023-01-04 20:00:00
"85";"JFK";2023;1;4;12;NA;NA;NA;240;5,7539;6,621473042;NA;NA;9;2023-01-04 21:00:00
"86";"JFK";2023;1;4;13;NA;NA;NA;260;8,05546;9,2700622588;NA;NA;8;2023-01-04 22:00:00
"87";"JFK";2023;1;4;14;NA;NA;NA;230;9,20624;10,5943568672;NA;NA;7;2023-01-04 23:00:00
"88";"JFK";2023;1;4;15;NA;NA;NA;200;4,60312;5,2971784336;NA;NA;6;2023-01-05
"89";"JFK";2023;1;4;16;NA;NA;NA;200;5,7539;6,621473042;NA;NA;7;2023-01-05 01:00:00
"90";"JFK";2023;1;4;17;NA;NA;NA;200;9,20624;10,5943568672;NA;NA;9;2023-01-05 02:00:00
"91";"JFK";2023;1;4;18;NA;NA;NA;190;5,7539;6,621473042;NA;NA;10;2023-01-05 03:00:00
"92";"JFK";2023;1;4;19;NA;NA;NA;170;5,7539;6,621473042;NA;NA;10;2023-01-05 04:00:00
"93";"JFK";2023;1;4;20;NA;NA;NA;140;5,7539;6,621473042;NA;NA;10;2023-01-05 05:00:00
"94";"JFK";2023;1;4;21;NA;NA;NA;50;2,30156;2,6485892168;NA;NA;10;2023-01-05 06:00:00
"95";"JFK";2023;1;4;22;NA;NA;NA;160;5,7539;6,621473042;NA;NA;10;2023-01-05 07:00:00
"96";"JFK";2023;1;4;23;NA;NA;NA;70;5,7539;6,621473042;NA;NA;7;2023-01-05 08:00:00
"97";"JFK";2023;1;5;0;NA;NA;NA;140;4,60312;5,2971784336;NA;NA;6;2023-01-05 09:00:00
"98";"JFK";2023;1;5;1;NA;NA;NA;120;4,60312;5,2971784336;NA;NA;5;2023-01-05 10:00:00
"99";"JFK";2023;1;5;2;NA;NA;NA;100;4,60312;5,2971784336;NA;NA;4;2023-01-05 11:00:00
"100";"JFK";2023;1;5;3;NA;NA;NA;30;5,7539;6,621473042;NA;NA;0,75;2023-01-05 12:00:00
"101";"JFK";2023;1;5;4;NA;NA;NA;100;5,7539;6,621473042;NA;NA;1,5;2023-01-05 13:00:00
"102";"JFK";2023;1;5;5;NA;NA;NA;60;2,30156;2,6485892168;NA;NA;0,24;2023-01-05 14:00:00
"103";"JFK";2023;1;5;6;NA;NA;NA;0;0;0;NA;NA;1,5;2023-01-05 15:00:00
"104";"JFK";2023;1;5;7;NA;NA;NA;350;5,7539;6,621473042;NA;NA;2,5;2023-01-05 16:00:00
"105";"JFK";2023;1;5;8;NA;NA;NA;340;5,7539;6,621473042;NA;NA;3;2023-01-05 17:00:00
"106";"JFK";2023;1;5;9;NA;NA;NA;360;10,35702;11,9186514756;NA;NA;8;2023-01-05 18:00:00
"107";"JFK";2023;1;5;10;NA;NA;NA;0;0;0;NA;NA;10;2023-01-05 19:00:00
"108";"JFK";2023;1;5;11;NA;NA;NA;10;5,7539;6,621473042;NA;NA;2;2023-01-05 20:00:00
"109";"JFK";2023;1;5;12;NA;NA;NA;60;8,05546;9,2700622588;NA;NA;0,75;2023-01-05 21:00:00
"110";"JFK";2023;1;5;13;NA;NA;NA;50;5,7539;6,621473042;NA;NA;0,5;2023-01-05 22:00:00
"111";"JFK";2023;1;5;14;NA;NA;NA;50;5,7539;6,621473042;NA;NA;3;2023-01-05 23:00:00
"112";"JFK";2023;1;5;15;NA;NA;NA;30;9,20624;10,5943568672;NA;NA;10;2023-01-06
"113";"JFK";2023;1;5;16;NA;NA;NA;30;5,7539;6,621473042;NA;NA;10;2023-01-06 01:00:00
"114";"JFK";2023;1;5;17;NA;NA;NA;60;8,05546;9,2700622588;NA;NA;10;2023-01-06 02:00:00
"115";"JFK";2023;1;5;18;NA;NA;NA;30;4,60312;5,2971784336;NA;NA;10;2023-01-06 03:00:00
"116";"JFK";2023;1;5;19;NA;NA;NA;60;5,7539;6,621473042;NA;NA;10;2023-01-06 04:00:00
"117";"JFK";2023;1;5;20;NA;NA;NA;80;5,7539;6,621473042;NA;NA;10;2023-01-06 05:00:00
"118";"JFK";2023;1;5;21;NA;NA;NA;60;5,7539;6,621473042;NA;NA;10;2023-01-06 06:00:00
"119";"JFK";2023;1;5;22;NA;NA;NA;60;4,60312;5,2971784336;NA;NA;10;2023-01-06 07:00:00
"120";"JFK";2023;1;5;23;NA;NA;NA;90;4,60312;5,2971784336;NA;NA;5;2023-01-06 08:00:00
"121";"JFK";2023;1;6;0;NA;NA;NA;110;5,7539;6,621473042;NA;NA;5;2023-01-06 09:00:00
"122";"JFK";2023;1;6;1;NA;NA;NA;100;5,7539;6,621473042;NA;NA;6;2023-01-06 10:00:00
"123";"JFK";2023;1;6;2;NA;NA;NA;110;5,7539;6,621473042;NA;NA;8;2023-01-06 11:00:00
"124";"JFK";2023;1;6;3;NA;NA;NA;60;5,7539;6,621473042;NA;NA;5;2023-01-06 12:00:00
"125";"JFK";2023;1;6;4;NA;NA;NA;70;9,20624;10,5943568672;NA;NA;6;2023-01-06 13:00:00
"126";"JFK";2023;1;6;5;NA;NA;NA;70;8,05546;9,2700622588;NA;NA;7;2023-01-06 14:00:00
"127";"JFK";2023;1;6;6;NA;NA;NA;100;9,20624;10,5943568672;NA;NA;8;2023-01-06 15:00:00
"128";"JFK";2023;1;6;7;NA;NA;NA;120;4,60312;5,2971784336;0,01;NA;8;2023-01-06 16:00:00
"129";"JFK";2023;1;6;8;NA;NA;NA;50;4,60312;5,2971784336;0,02;NA;6;2023-01-06 17:00:00
"130";"JFK";2023;1;6;9;NA;NA;NA;60;4,60312;5,2971784336;0,01;NA;6;2023-01-06 18:00:00
"131";"JFK";2023;1;6;10;NA;NA;NA;0;0;0;NA;NA;8;2023-01-06 19:00:00
"132";"JFK";2023;1;6;11;NA;NA;NA;80;8,05546;9,2700622588;NA;NA;10;2023-01-06 20:00:00
"133";"JFK";2023;1;6;12;NA;NA;NA;120;9,20624;10,5943568672;NA;NA;10;2023-01-06 21:00:00
"134";"JFK";2023;1;6;13;NA;NA;NA;80;4,60312;5,2971784336;NA;NA;7;2023-01-06 22:00:00
"135";"JFK";2023;1;6;14;NA;NA;NA;80;5,7539;6,621473042;NA;NA;10;2023-01-06 23:00:00
"136";"JFK";2023;1;6;15;NA;NA;NA;30;4,60312;5,2971784336;NA;NA;10;2023-01-07
"137";"JFK";2023;1;6;16;NA;NA;NA;0;0;0;NA;NA;10;2023-01-07 01:00:00
"138";"JFK";2023;1;6;17;NA;NA;NA;320;2,30156;2,6485892168;NA;NA;8;2023-01-07 02:00:00
"139";"JFK";2023;1;6;18;NA;NA;NA;0;0;0;NA;NA;5;2023-01-07 03:00:00
"140";"JFK";2023;1;6;19;NA;NA;NA;190;5,7539;6,621473042;NA;NA;9;2023-01-07 04:00:00
"141";"JFK";2023;1;6;20;NA;NA;NA;240;10,35702;11,9186514756;NA;NA;7;2023-01-07 05:00:00
"142";"JFK";2023;1;6;21;NA;NA;NA;250;8,05546;9,2700622588;NA;NA;10;2023-01-07 06:00:00
"143";"JFK";2023;1;6;22;NA;NA;NA;260;14,96014;17,2158299092;NA;NA;10;2023-01-07 07:00:00
"144";"JFK";2023;1;6;23;NA;NA;NA;260;12,65858;14,5672406924;NA;NA;10;2023-01-07 08:00:00
"145";"JFK";2023;1;7;0;NA;NA;NA;310;14,96014;17,2158299092;NA;NA;10;2023-01-07 09:00:00
"146";"JFK";2023;1;7;1;NA;NA;NA;290;11,5078;13,242946084;NA;NA;10;2023-01-07 10:00:00
"147";"JFK";2023;1;7;2;NA;NA;NA;310;14,96014;17,2158299092;NA;NA;10;2023-01-07 11:00:00
"148";"JFK";2023;1;7;3;NA;NA;NA;290;12,65858;14,5672406924;NA;NA;10;2023-01-07 12:00:00
"149";"JFK";2023;1;7;4;NA;NA;NA;300;16,11092;18,5401245176;NA;NA;10;2023-01-07 13:00:00
"150";"JFK";2023;1;7;5;NA;NA;NA;300;12,65858;14,5672406924;NA;NA;10;2023-01-07 14:00:00
"151";"JFK";2023;1;7;6;NA;NA;NA;280;10,35702;11,9186514756;NA;NA;10;2023-01-07 15:00:00
"152";"JFK";2023;1;7;7;NA;NA;NA;280;9,20624;10,5943568672;NA;NA;10;2023-01-07 16:00:00
"153";"JFK";2023;1;7;8;NA;NA;NA;270;10,35702;11,9186514756;NA;NA;10;2023-01-07 17:00:00
"154";"JFK";2023;1;7;9;NA;NA;NA;280;9,20624;10,5943568672;NA;NA;10;2023-01-07 18:00:00
"155";"JFK";2023;1;7;10;NA;NA;NA;270;10,35702;11,9186514756;NA;NA;10;2023-01-07 19:00:00
"156";"JFK";2023;1;7;11;NA;NA;NA;270;8,05546;9,2700622588;NA;NA;10;2023-01-07 20:00:00
"157";"JFK";2023;1;7;12;NA;NA;NA;270;11,5078;13,242946084;NA;NA;10;2023-01-07 21:00:00
"158";"JFK";2023;1;7;13;NA;NA;NA;280;8,05546;9,2700622588;NA;NA;10;2023-01-07 22:00:00
"159";"JFK";2023;1;7;14;NA;NA;NA;280;9,20624;10,5943568672;NA;NA;10;2023-01-07 23:00:00
"160";"JFK";2023;1;7;15;NA;NA;NA;290;12,65858;14,5672406924;NA;NA;10;2023-01-08
"161";"JFK";2023;1;7;16;NA;NA;NA;300;11,5078;13,242946084;NA;NA;10;2023-01-08 01:00:00
"162";"JFK";2023;1;7;17;NA;NA;NA;300;10,35702;11,9186514756;NA;NA;10;2023-01-08 02:00:00
"163";"JFK";2023;1;7;18;NA;NA;NA;300;11,5078;13,242946084;NA;NA;10;2023-01-08 03:00:00
"164";"JFK";2023;1;7;19;NA;NA;NA;290;12,65858;14,5672406924;NA;NA;10;2023-01-08 04:00:00
"165";"JFK";2023;1;7;20;NA;NA;NA;300;12,65858;14,5672406924;NA;NA;10;2023-01-08 05:00:00
"166";"JFK";2023;1;7;21;NA;NA;NA;310;11,5078;13,242946084;NA;NA;10;2023-01-08 06:00:00
"167";"JFK";2023;1;7;22;NA;NA;NA;310;10,35702;11,9186514756;NA;NA;10;2023-01-08 07:00:00
"168";"JFK";2023;1;7;23;NA;NA;NA;280;11,5078;13,242946084;NA;NA;10;2023-01-08 08:00:00
"169";"JFK";2023;1;8;0;NA;NA;NA;300;16,11092;18,5401245176;NA;NA;10;2023-01-08 09:00:00
"170";"JFK";2023;1;8;1;NA;NA;NA;290;10,35702;11,9186514756;NA;NA;10;2023-01-08 10:00:00
"171";"JFK";2023;1;8;2;NA;NA;NA;300;14,96014;17,2158299092;NA;NA;10;2023-01-08 11:00:00
"172";"JFK";2023;1;8;3;NA;NA;NA;310;12,65858;14,5672406924;NA;NA;10;2023-01-08 12:00:00
"173";"JFK";2023;1;8;4;NA;NA;NA;300;12,65858;14,5672406924;NA;NA;10;2023-01-08 13:00:00
"174";"JFK";2023;1;8;5;NA;NA;NA;310;12,65858;14,5672406924;NA;NA;10;2023-01-08 14:00:00
"175";"JFK";2023;1;8;6;NA;NA;NA;310;11,5078;13,242946084;NA;NA;10;2023-01-08 15:00:00
"176";"JFK";2023;1;8;7;NA;NA;NA;320;12,65858;14,5672406924;NA;NA;10;2023-01-08 16:00:00
"177";"JFK";2023;1;8;8;NA;NA;NA;320;12,65858;14,5672406924;NA;NA;10;2023-01-08 17:00:00
"178";"JFK";2023;1;8;9;NA;NA;NA;330;12,65858;14,5672406924;NA;NA;10;2023-01-08 18:00:00
"179";"JFK";2023;1;8;10;NA;NA;NA;300;11,5078;13,242946084;NA;NA;10;2023-01-08 19:00:00
"180";"JFK";2023;1;8;11;NA;NA;NA;320;10,35702;11,9186514756;NA;NA;10;2023-01-08 20:00:00
"181";"JFK";2023;1;8;12;NA;NA;NA;350;10,35702;11,9186514756;NA;NA;10;2023-01-08 21:00:00
"182";"JFK";2023;1;8;13;NA;NA;NA;340;8,05546;9,2700622588;NA;NA;10;2023-01-08 22:00:00
"183";"JFK";2023;1;8;14;NA;NA;NA;360;9,20624;10,5943568672;NA;NA;10;2023-01-08 23:00:00
"184";"JFK";2023;1;8;15;NA;NA;NA;10;8,05546;9,2700622588;NA;NA;10;2023-01-09
"185";"JFK";2023;1;8;16;NA;NA;NA;10;5,7539;6,621473042;NA;NA;10;2023-01-09 01:00:00
"186";"JFK";2023;1;8;17;NA;NA;NA;320;4,60312;5,2971784336;NA;NA;10;2023-01-09 02:00:00
"187";"JFK";2023;1;8;18;NA;NA;NA;310;2,30156;2,6485892168;NA;NA;10;2023-01-09 03:00:00
"188";"JFK";2023;1;8;19;NA;NA;NA;210;5,7539;6,621473042;NA;NA;10;2023-01-09 04:00:00
"189";"JFK";2023;1;8;20;NA;NA;NA;220;8,05546;9,2700622588;NA;NA;10;2023-01-09 05:00:00
"190";"JFK";2023;1;8;21;NA;NA;NA;200;5,7539;6,621473042;NA;NA;10;2023-01-09 06:00:00
"191";"JFK";2023;1;8;22;NA;NA;NA;190;10,35702;11,9186514756;NA;NA;10;2023-01-09 07:00:00
"192";"JFK";2023;1;8;23;NA;NA;NA;200;8,05546;9,2700622588;NA;NA;10;2023-01-09 08:00:00
"193";"JFK";2023;1;9;0;NA;NA;NA;190;9,20624;10,5943568672;NA;NA;10;2023-01-09 09:00:00
"194";"JFK";2023;1;9;1;NA;NA;NA;200;9,20624;10,5943568672;NA;NA;10;2023-01-09 10:00:00
"195";"JFK";2023;1;9;2;NA;NA;NA;210;11,5078;13,242946084;NA;NA;10;2023-01-09 11:00:00
"196";"JFK";2023;1;9;3;NA;NA;NA;200;12,65858;14,5672406924;NA;NA;10;2023-01-09 12:00:00
"197";"JFK";2023;1;9;4;NA;NA;NA;220;8,05546;9,2700622588;NA;NA;10;2023-01-09 13:00:00
"198";"JFK";2023;1;9;5;NA;NA;NA;220;12,65858;14,5672406924;NA;NA;10;2023-01-09 14:00:00
"199";"JFK";2023;1;9;6;NA;NA;NA;220;5,7539;6,621473042;NA;NA;10;2023-01-09 15:00:00
"200";"JFK";2023;1;9;7;NA;NA;NA;260;8,05546;9,2700622588;NA;NA;10;2023-01-09 16:00:00
"201";"JFK";2023;1;9;8;NA;NA;NA;220;8,05546;9,2700622588;NA;NA;10;2023-01-09 17:00:00
"202";"JFK";2023;1;9;9;NA;NA;NA;210;4,60312;5,2971784336;NA;NA;9;2023-01-09 18:00:00
"203";"JFK";2023;1;9;10;NA;NA;NA;270;4,60312;5,2971784336;NA;NA;10;2023-01-09 19:00:00
"204";"JFK";2023;1;9;11;NA;NA;NA;260;4,60312;5,2971784336;NA;NA;10;2023-01-09 20:00:00
"205";"JFK";2023;1;9;12;NA;NA;NA;350;4,60312;5,2971784336;NA;NA;10;2023-01-09 21:00:00
"206";"JFK";2023;1;9;13;NA;NA;NA;280;4,60312;5,2971784336;NA;NA;8;2023-01-09 22:00:00
"207";"JFK";2023;1;9;14;NA;NA;NA;300;8,05546;9,2700622588;NA;NA;10;2023-01-09 23:00:00
"208";"JFK";2023;1;9;15;NA;NA;NA;320;9,20624;10,5943568672;NA;NA;10;2023-01-10
"209";"JFK";2023;1;9;16;NA;NA;NA;330;12,65858;14,5672406924;NA;NA;10;2023-01-10 01:00:00
"210";"JFK";2023;1;9;17;NA;NA;NA;300;11,5078;13,242946084;NA;NA;10;2023-01-10 02:00:00
"211";"JFK";2023;1;9;18;NA;NA;NA;320;12,65858;14,5672406924;NA;NA;10;2023-01-10 03:00:00
"212";"JFK";2023;1;9;19;NA;NA;NA;290;12,65858;14,5672406924;NA;NA;10;2023-01-10 04:00:00
"213";"JFK";2023;1;9;20;NA;NA;NA;310;16,11092;18,5401245176;NA;NA;10;2023-01-10 05:00:00
"214";"JFK";2023;1;9;21;NA;NA;NA;310;9,20624;10,5943568672;NA;NA;10;2023-01-10 06:00:00
"215";"JFK";2023;1;9;22;NA;NA;NA;300;12,65858;14,5672406924;NA;NA;10;2023-01-10 07:00:00
"216";"JFK";2023;1;9;23;NA;NA;NA;310;9,20624;10,5943568672;NA;NA;10;2023-01-10 08:00:00
"217";"JFK";2023;1;10;0;NA;NA;NA;300;12,65858;14,5672406924;NA;NA;10;2023-01-10 09:00:00
"218";"JFK";2023;1;10;1;NA;NA;NA;290;9,20624;10,5943568672;NA;NA;10;2023-01-10 10:00:00
"219";"JFK";2023;1;10;2;NA;NA;NA;270;8,05546;9,2700622588;NA;NA;10;2023-01-10 11:00:00
"220";"JFK";2023;1;10;3;NA;NA;NA;260;10,35702;11,9186514756;NA;NA;10;2023-01-10 12:00:00
"221";"JFK";2023;1;10;4;NA;NA;NA;270;12,65858;14,5672406924;NA;NA;10;2023-01-10 13:00:00
"222";"JFK";2023;1;10;5;NA;NA;NA;270;11,5078;13,242946084;NA;NA;10;2023-01-10 14:00:00
"223";"JFK";2023;1;10;6;NA;NA;NA;270;9,20624;10,5943568672;NA;NA;10;2023-01-10 15:00:00
"224";"JFK";2023;1;10;7;NA;NA;NA;300;9,20624;10,5943568672;NA;NA;10;2023-01-10 16:00:00
"225";"JFK";2023;1;10;8;NA;NA;NA;260;8,05546;9,2700622588;NA;NA;10;2023-01-10 17:00:00
"226";"JFK";2023;1;10;9;NA;NA;NA;260;9,20624;10,5943568672;NA;NA;10;2023-01-10 18:00:00
"227";"JFK";2023;1;10;10;NA;NA;NA;250;9,20624;10,5943568672;NA;NA;10;2023-01-10 19:00:00
"228";"JFK";2023;1;10;11;NA;NA;NA;270;11,5078;13,242946084;NA;NA;10;2023-01-10 20:00:00
"229";"JFK";2023;1;10;12;NA;NA;NA;330;11,5078;13,242946084;NA;NA;10;2023-01-10 21:00:00
"230";"JFK";2023;1;10;13;NA;NA;NA;240;10,35702;11,9186514756;NA;NA;10;2023-01-10 22:00:00
